0	1	50000	10000	90500	1	90502	1	-1	0
0	2	500000	10000	90500	5	90502	10	-1	0
0	3	3000000	10000	90500	30	90502	60	-1	0
1	1	50000	10000	90500	1	90502	1	-1	0
1	2	500000	10000	90500	5	90502	10	-1	0
1	3	3000000	10000	90500	30	90502	60	-1	0
8	1	50000	10000	90500	1	90502	1	-1	0
8	2	500000	10000	90500	5	90502	10	-1	0
8	3	3000000	10000	90500	30	90502	60	-1	0
3	1	50000	10000	90500	1	90502	1	-1	0
3	2	500000	10000	90500	5	90502	10	-1	0
3	3	3000000	10000	90500	30	90502	60	-1	0
9	1	50000	10000	90500	1	90502	1	-1	0
9	2	500000	10000	90500	5	90502	10	-1	0
9	3	3000000	10000	90500	30	90502	60	-1	0
10	1	50000	10000	90500	1	90502	1	-1	0
10	2	500000	10000	90500	5	90502	10	-1	0
10	3	3000000	10000	90500	30	90502	60	-1	0
6	1	50000	10000	90500	1	90502	1	-1	0
6	2	500000	10000	90500	5	90502	10	-1	0
6	3	3000000	10000	90500	30	90502	60	-1	0
7	1	50000	10000	90500	1	90502	1	-1	0
7	2	500000	10000	90500	5	90502	10	-1	0
7	3	3000000	10000	90500	30	90502	60	-1	0
