225,854,523,109
226,762,668,114
100,905,316,1605
148,1168,489,2095
157,1216,464,2097
157,1375,493,2101
158,1290,526,2102
201,809,495,1680
201,755,495,2096
180,1063,193,1801
180,1124,239,2123
167,917,240,2124
168,1065,210,2125
169,997,193,2126
170,1006,353,2127
172,1097,177,2128
187,1058,898,2138
188,1108,251,2133
189,1060,170,2134
190,1044,266,2135
193,993,235,2136
194,1080,162,2137
231,900,381,2140
232,1018,521,2141
241,1030,372,2145
242,1037,467,2150
233,1033,360,2142
234,1007,342,2143
235,1032,344,2147
236,974,370,2148
237,1024,460,2144
238,1051,461,2151
239,1028,469,2149
240,971,241,2146
51,1160,381,2153
52,968,162,2154
53,1032,339,2165
53,964,276,2155
56,1011,332,2156
58,1133,220,2157
60,930,441,2158
61,992,315,2159
62,811,812,2166
62,1257,382,2160
111,913,266,2167
111,1036,272,2164
123,1001,135,2161
124,967,196,2162
113,881,543,2168
114,895,547,2169
116,1045,122,2170
117,982,247,2171
118,1164,224,2172
105,1089,530,2173
106,1010,209,2174
147,986,698,2116
147,892,437,2117
147,1008,619,1648
147,903,759,1645
50,973,332,2152
12,974,582,1723
149,1069,477,1654
149,1081,576,2107
159,992,484,2120
159,1083,389,2108
160,1073,476,2104
161,974,582,1723
161,927,462,2106
162,1002,484,2105
144,1099,301,1522
153,906,292,1524
154,939,419,2087
154,1042,288,2086
145,883,313,2118
145,1112,575,1562
145,1109,635,2119
146,979,536,2129
146,933,770,1564
155,954,510,2130
155,927,746,1602
156,905,316,1605
211,919,281,2131
216,1023,240,2132
143,1157,798,2091
143,1135,671,1481
142,940,529,2110
142,1254,622,1454
142,1286,732,2114
142,1286,732,2115
142,979,636,2111
142,1149,549,2122
142,1024,294,2109
