AttributeID,Key,Param1,Param2,Pow,Tip
1001,cmi_A,catPhyAtk,1,10,最小攻击+1
1002,cmi_A,catPhyAtk,1,10,最小攻击+1
1003,cmi_A,catPhyAtk,1,10,最小攻击+1
1004,cmi_A,catPhyAtk,1,10,最小攻击+1
1005,cmi_A,catPhyAtk,1,10,最小攻击+1
1006,cmi_A,catPhyAtk,1,10,最小攻击+1
1007,cmi_A,catPhyAtk,1,10,最小攻击+1
1008,cmi_A,catPhyAtk,1,10,最小攻击+1
1009,cmi_A,catPhyAtk,1,10,最小攻击+1
1010,cmi_A,catPhyAtk,1,10,最小攻击+1
1011,cmi_A,catPhyAtk,2,20,最小攻击+2
1012,cmi_A,catPhyAtk,2,20,最小攻击+2
1013,cmi_A,catPhyAtk,2,20,最小攻击+2
1014,cmi_A,catPhyAtk,2,20,最小攻击+2
1015,cmi_A,catPhyAtk,2,20,最小攻击+2
1016,cmi_A,catPhyAtk,2,20,最小攻击+2
1017,cmi_A,catPhyAtk,2,20,最小攻击+2
1018,cmi_A,catPhyAtk,2,20,最小攻击+2
1019,cmi_A,catPhyAtk,2,20,最小攻击+2
1020,cmi_A,catPhyAtk,2,20,最小攻击+2
1021,cmi_A,catPhyAtk,3,30,最小攻击+3
1022,cmi_A,catPhyAtk,3,30,最小攻击+3
1023,cmi_A,catPhyAtk,3,30,最小攻击+3
1024,cmi_A,catPhyAtk,3,30,最小攻击+3
1025,cmi_A,catPhyAtk,3,30,最小攻击+3
1026,cmi_A,catPhyAtk,3,30,最小攻击+3
1027,cmi_A,catPhyAtk,3,30,最小攻击+3
1028,cmi_A,catPhyAtk,3,30,最小攻击+3
1029,cmi_A,catPhyAtk,3,30,最小攻击+3
1030,cmi_A,catPhyAtk,3,30,最小攻击+3
1031,cmi_A,catPhyAtk,4,40,最小攻击+4
1032,cmi_A,catPhyAtk,4,40,最小攻击+4
1033,cmi_A,catPhyAtk,4,40,最小攻击+4
1034,cmi_A,catPhyAtk,4,40,最小攻击+4
1035,cmi_A,catPhyAtk,4,40,最小攻击+4
1036,cmi_A,catPhyAtk,4,40,最小攻击+4
1037,cmi_A,catPhyAtk,4,40,最小攻击+4
1038,cmi_A,catPhyAtk,4,40,最小攻击+4
1039,cmi_A,catPhyAtk,4,40,最小攻击+4
1040,cmi_A,catPhyAtk,4,40,最小攻击+4
1041,cmi_A,catPhyAtk,5,50,最小攻击+5
1042,cmi_A,catPhyAtk,5,50,最小攻击+5
1043,cmi_A,catPhyAtk,5,50,最小攻击+5
1044,cmi_A,catPhyAtk,5,50,最小攻击+5
1045,cmi_A,catPhyAtk,5,50,最小攻击+5
1046,cmi_A,catPhyAtk,5,50,最小攻击+5
1047,cmi_A,catPhyAtk,5,50,最小攻击+5
1048,cmi_A,catPhyAtk,5,50,最小攻击+5
1049,cmi_A,catPhyAtk,5,50,最小攻击+5
1050,cmi_A,catPhyAtk,5,50,最小攻击+5
1051,cmi_A,catPhyAtk,6,60,最小攻击+6
1052,cmi_A,catPhyAtk,6,60,最小攻击+6
1053,cmi_A,catPhyAtk,6,60,最小攻击+6
1054,cmi_A,catPhyAtk,6,60,最小攻击+6
1055,cmi_A,catPhyAtk,6,60,最小攻击+6
1056,cmi_A,catPhyAtk,6,60,最小攻击+6
1057,cmi_A,catPhyAtk,6,60,最小攻击+6
1058,cmi_A,catPhyAtk,6,60,最小攻击+6
1059,cmi_A,catPhyAtk,6,60,最小攻击+6
1060,cmi_A,catPhyAtk,6,60,最小攻击+6
1061,cmi_A,catPhyAtk,7,70,最小攻击+7
1062,cmi_A,catPhyAtk,7,70,最小攻击+7
1063,cmi_A,catPhyAtk,7,70,最小攻击+7
1064,cmi_A,catPhyAtk,7,70,最小攻击+7
1065,cmi_A,catPhyAtk,7,70,最小攻击+7
1066,cmi_A,catPhyAtk,7,70,最小攻击+7
1067,cmi_A,catPhyAtk,7,70,最小攻击+7
1068,cmi_A,catPhyAtk,7,70,最小攻击+7
1069,cmi_A,catPhyAtk,7,70,最小攻击+7
1070,cmi_A,catPhyAtk,7,70,最小攻击+7
1071,cmi_A,catPhyAtk,8,80,最小攻击+8
1072,cmi_A,catPhyAtk,8,80,最小攻击+8
1073,cmi_A,catPhyAtk,8,80,最小攻击+8
1074,cmi_A,catPhyAtk,8,80,最小攻击+8
1075,cmi_A,catPhyAtk,8,80,最小攻击+8
1076,cmi_A,catPhyAtk,8,80,最小攻击+8
1077,cmi_A,catPhyAtk,8,80,最小攻击+8
1078,cmi_A,catPhyAtk,8,80,最小攻击+8
1079,cmi_A,catPhyAtk,8,80,最小攻击+8
1080,cmi_A,catPhyAtk,8,80,最小攻击+8
1081,cmi_A,catPhyAtk,9,90,最小攻击+9
1082,cmi_A,catPhyAtk,9,90,最小攻击+9
1083,cmi_A,catPhyAtk,9,90,最小攻击+9
1084,cmi_A,catPhyAtk,9,90,最小攻击+9
1085,cmi_A,catPhyAtk,9,90,最小攻击+9
1086,cmi_A,catPhyAtk,9,90,最小攻击+9
1087,cmi_A,catPhyAtk,9,90,最小攻击+9
1088,cmi_A,catPhyAtk,9,90,最小攻击+9
1089,cmi_A,catPhyAtk,9,90,最小攻击+9
1090,cmi_A,catPhyAtk,9,90,最小攻击+9
1091,cmi_A,catPhyAtk,10,100,最小攻击+10
1092,cmi_A,catPhyAtk,10,100,最小攻击+10
1093,cmi_A,catPhyAtk,10,100,最小攻击+10
1094,cmi_A,catPhyAtk,10,100,最小攻击+10
1095,cmi_A,catPhyAtk,10,100,最小攻击+10
1096,cmi_A,catPhyAtk,10,100,最小攻击+10
1097,cmi_A,catPhyAtk,10,100,最小攻击+10
1098,cmi_A,catPhyAtk,10,100,最小攻击+10
1099,cmi_A,catPhyAtk,10,100,最小攻击+10
1100,cmi_A,catPhyAtk,10,100,最小攻击+10
1101,cmi_A,catPhyAtk,11,110,最小攻击+11
1102,cmi_A,catPhyAtk,11,110,最小攻击+11
1103,cmi_A,catPhyAtk,11,110,最小攻击+11
1104,cmi_A,catPhyAtk,11,110,最小攻击+11
1105,cmi_A,catPhyAtk,11,110,最小攻击+11
1106,cmi_A,catPhyAtk,11,110,最小攻击+11
1107,cmi_A,catPhyAtk,11,110,最小攻击+11
1108,cmi_A,catPhyAtk,11,110,最小攻击+11
1109,cmi_A,catPhyAtk,11,110,最小攻击+11
1110,cmi_A,catPhyAtk,11,110,最小攻击+11
1111,cmi_A,catPhyAtk,12,120,最小攻击+12
1112,cmi_A,catPhyAtk,12,120,最小攻击+12
1113,cmi_A,catPhyAtk,12,120,最小攻击+12
1114,cmi_A,catPhyAtk,12,120,最小攻击+12
1115,cmi_A,catPhyAtk,12,120,最小攻击+12
1116,cmi_A,catPhyAtk,12,120,最小攻击+12
1117,cmi_A,catPhyAtk,12,120,最小攻击+12
1118,cmi_A,catPhyAtk,12,120,最小攻击+12
1119,cmi_A,catPhyAtk,12,120,最小攻击+12
1120,cmi_A,catPhyAtk,12,120,最小攻击+12
1121,cmi_A,catPhyAtk,13,130,最小攻击+13
1122,cmi_A,catPhyAtk,13,130,最小攻击+13
1123,cmi_A,catPhyAtk,13,130,最小攻击+13
1124,cmi_A,catPhyAtk,13,130,最小攻击+13
1125,cmi_A,catPhyAtk,13,130,最小攻击+13
1126,cmi_A,catPhyAtk,13,130,最小攻击+13
1127,cmi_A,catPhyAtk,13,130,最小攻击+13
1128,cmi_A,catPhyAtk,13,130,最小攻击+13
1129,cmi_A,catPhyAtk,13,130,最小攻击+13
1130,cmi_A,catPhyAtk,13,130,最小攻击+13
1131,cmi_A,catPhyAtk,14,140,最小攻击+14
1132,cmi_A,catPhyAtk,14,140,最小攻击+14
1133,cmi_A,catPhyAtk,14,140,最小攻击+14
1134,cmi_A,catPhyAtk,14,140,最小攻击+14
1135,cmi_A,catPhyAtk,14,140,最小攻击+14
1136,cmi_A,catPhyAtk,14,140,最小攻击+14
1137,cmi_A,catPhyAtk,14,140,最小攻击+14
1138,cmi_A,catPhyAtk,14,140,最小攻击+14
1139,cmi_A,catPhyAtk,14,140,最小攻击+14
1140,cmi_A,catPhyAtk,14,140,最小攻击+14
1141,cmi_A,catPhyAtk,15,150,最小攻击+15
1142,cmi_A,catPhyAtk,15,150,最小攻击+15
1143,cmi_A,catPhyAtk,15,150,最小攻击+15
1144,cmi_A,catPhyAtk,15,150,最小攻击+15
1145,cmi_A,catPhyAtk,15,150,最小攻击+15
1146,cmi_A,catPhyAtk,15,150,最小攻击+15
1147,cmi_A,catPhyAtk,15,150,最小攻击+15
1148,cmi_A,catPhyAtk,15,150,最小攻击+15
1149,cmi_A,catPhyAtk,15,150,最小攻击+15
1150,cmi_A,catPhyAtk,15,150,最小攻击+15
1151,cmi_A,catPhyAtk,16,160,最小攻击+16
1152,cmi_A,catPhyAtk,16,160,最小攻击+16
1153,cmi_A,catPhyAtk,16,160,最小攻击+16
1154,cmi_A,catPhyAtk,16,160,最小攻击+16
1155,cmi_A,catPhyAtk,16,160,最小攻击+16
1156,cmi_A,catPhyAtk,16,160,最小攻击+16
1157,cmi_A,catPhyAtk,16,160,最小攻击+16
1158,cmi_A,catPhyAtk,16,160,最小攻击+16
1159,cmi_A,catPhyAtk,16,160,最小攻击+16
1160,cmi_A,catPhyAtk,16,160,最小攻击+16
1161,cmi_A,catPhyAtk,17,170,最小攻击+17
1162,cmi_A,catPhyAtk,17,170,最小攻击+17
1163,cmi_A,catPhyAtk,17,170,最小攻击+17
1164,cmi_A,catPhyAtk,17,170,最小攻击+17
1165,cmi_A,catPhyAtk,17,170,最小攻击+17
1166,cmi_A,catPhyAtk,17,170,最小攻击+17
1167,cmi_A,catPhyAtk,17,170,最小攻击+17
1168,cmi_A,catPhyAtk,17,170,最小攻击+17
1169,cmi_A,catPhyAtk,17,170,最小攻击+17
1170,cmi_A,catPhyAtk,17,170,最小攻击+17
1171,cmi_A,catPhyAtk,18,180,最小攻击+18
1172,cmi_A,catPhyAtk,18,180,最小攻击+18
1173,cmi_A,catPhyAtk,18,180,最小攻击+18
1174,cmi_A,catPhyAtk,18,180,最小攻击+18
1175,cmi_A,catPhyAtk,18,180,最小攻击+18
1176,cmi_A,catPhyAtk,18,180,最小攻击+18
1177,cmi_A,catPhyAtk,18,180,最小攻击+18
1178,cmi_A,catPhyAtk,18,180,最小攻击+18
1179,cmi_A,catPhyAtk,18,180,最小攻击+18
1180,cmi_A,catPhyAtk,18,180,最小攻击+18
1181,cmi_A,catPhyAtk,19,190,最小攻击+19
1182,cmi_A,catPhyAtk,19,190,最小攻击+19
1183,cmi_A,catPhyAtk,19,190,最小攻击+19
1184,cmi_A,catPhyAtk,19,190,最小攻击+19
1185,cmi_A,catPhyAtk,19,190,最小攻击+19
1186,cmi_A,catPhyAtk,19,190,最小攻击+19
1187,cmi_A,catPhyAtk,19,190,最小攻击+19
1188,cmi_A,catPhyAtk,19,190,最小攻击+19
1189,cmi_A,catPhyAtk,19,190,最小攻击+19
1190,cmi_A,catPhyAtk,19,190,最小攻击+19
1191,cmi_A,catPhyAtk,20,200,最小攻击+20
1192,cmi_A,catPhyAtk,20,200,最小攻击+20
1193,cmi_A,catPhyAtk,20,200,最小攻击+20
1194,cmi_A,catPhyAtk,20,200,最小攻击+20
1195,cmi_A,catPhyAtk,20,200,最小攻击+20
1196,cmi_A,catPhyAtk,20,200,最小攻击+20
1197,cmi_A,catPhyAtk,20,200,最小攻击+20
1198,cmi_A,catPhyAtk,20,200,最小攻击+20
1199,cmi_A,catPhyAtk,20,200,最小攻击+20
1200,cmi_A,catPhyAtk,20,200,最小攻击+20
1201,cmi_A,catPhyAtk,21,210,最小攻击+21
1202,cmi_A,catPhyAtk,21,210,最小攻击+21
1203,cmi_A,catPhyAtk,21,210,最小攻击+21
1204,cmi_A,catPhyAtk,21,210,最小攻击+21
1205,cmi_A,catPhyAtk,21,210,最小攻击+21
1206,cmi_A,catPhyAtk,21,210,最小攻击+21
1207,cmi_A,catPhyAtk,21,210,最小攻击+21
1208,cmi_A,catPhyAtk,21,210,最小攻击+21
1209,cmi_A,catPhyAtk,21,210,最小攻击+21
1210,cmi_A,catPhyAtk,21,210,最小攻击+21
1211,cmi_A,catPhyAtk,22,220,最小攻击+22
1212,cmi_A,catPhyAtk,22,220,最小攻击+22
1213,cmi_A,catPhyAtk,22,220,最小攻击+22
1214,cmi_A,catPhyAtk,22,220,最小攻击+22
1215,cmi_A,catPhyAtk,22,220,最小攻击+22
1216,cmi_A,catPhyAtk,22,220,最小攻击+22
1217,cmi_A,catPhyAtk,22,220,最小攻击+22
1218,cmi_A,catPhyAtk,22,220,最小攻击+22
1219,cmi_A,catPhyAtk,22,220,最小攻击+22
1220,cmi_A,catPhyAtk,22,220,最小攻击+22
1221,cmi_A,catPhyAtk,23,230,最小攻击+23
1222,cmi_A,catPhyAtk,23,230,最小攻击+23
1223,cmi_A,catPhyAtk,23,230,最小攻击+23
1224,cmi_A,catPhyAtk,23,230,最小攻击+23
1225,cmi_A,catPhyAtk,23,230,最小攻击+23
1226,cmi_A,catPhyAtk,23,230,最小攻击+23
1227,cmi_A,catPhyAtk,23,230,最小攻击+23
1228,cmi_A,catPhyAtk,23,230,最小攻击+23
1229,cmi_A,catPhyAtk,23,230,最小攻击+23
1230,cmi_A,catPhyAtk,23,230,最小攻击+23
1231,cmi_A,catPhyAtk,24,240,最小攻击+24
1232,cmi_A,catPhyAtk,24,240,最小攻击+24
1233,cmi_A,catPhyAtk,24,240,最小攻击+24
1234,cmi_A,catPhyAtk,24,240,最小攻击+24
1235,cmi_A,catPhyAtk,24,240,最小攻击+24
1236,cmi_A,catPhyAtk,24,240,最小攻击+24
1237,cmi_A,catPhyAtk,24,240,最小攻击+24
1238,cmi_A,catPhyAtk,24,240,最小攻击+24
1239,cmi_A,catPhyAtk,24,240,最小攻击+24
1240,cmi_A,catPhyAtk,24,240,最小攻击+24
1241,cmi_A,catPhyAtk,25,250,最小攻击+25
1242,cmi_A,catPhyAtk,25,250,最小攻击+25
1243,cmi_A,catPhyAtk,25,250,最小攻击+25
1244,cmi_A,catPhyAtk,25,250,最小攻击+25
1245,cmi_A,catPhyAtk,25,250,最小攻击+25
1246,cmi_A,catPhyAtk,25,250,最小攻击+25
1247,cmi_A,catPhyAtk,25,250,最小攻击+25
1248,cmi_A,catPhyAtk,25,250,最小攻击+25
1249,cmi_A,catPhyAtk,25,250,最小攻击+25
1250,cmi_A,catPhyAtk,25,250,最小攻击+25
1251,cmi_A,catPhyAtk,26,260,最小攻击+26
1252,cmi_A,catPhyAtk,26,260,最小攻击+26
1253,cmi_A,catPhyAtk,26,260,最小攻击+26
1254,cmi_A,catPhyAtk,26,260,最小攻击+26
1255,cmi_A,catPhyAtk,26,260,最小攻击+26
1256,cmi_A,catPhyAtk,26,260,最小攻击+26
1257,cmi_A,catPhyAtk,26,260,最小攻击+26
1258,cmi_A,catPhyAtk,26,260,最小攻击+26
1259,cmi_A,catPhyAtk,26,260,最小攻击+26
1260,cmi_A,catPhyAtk,26,260,最小攻击+26
1261,cmi_A,catPhyAtk,27,270,最小攻击+27
1262,cmi_A,catPhyAtk,27,270,最小攻击+27
1263,cmi_A,catPhyAtk,27,270,最小攻击+27
1264,cmi_A,catPhyAtk,27,270,最小攻击+27
1265,cmi_A,catPhyAtk,27,270,最小攻击+27
1266,cmi_A,catPhyAtk,27,270,最小攻击+27
1267,cmi_A,catPhyAtk,27,270,最小攻击+27
1268,cmi_A,catPhyAtk,27,270,最小攻击+27
1269,cmi_A,catPhyAtk,27,270,最小攻击+27
1270,cmi_A,catPhyAtk,27,270,最小攻击+27
1271,cmi_A,catPhyAtk,28,280,最小攻击+28
1272,cmi_A,catPhyAtk,28,280,最小攻击+28
1273,cmi_A,catPhyAtk,28,280,最小攻击+28
1274,cmi_A,catPhyAtk,28,280,最小攻击+28
1275,cmi_A,catPhyAtk,28,280,最小攻击+28
1276,cmi_A,catPhyAtk,28,280,最小攻击+28
1277,cmi_A,catPhyAtk,28,280,最小攻击+28
1278,cmi_A,catPhyAtk,28,280,最小攻击+28
1279,cmi_A,catPhyAtk,28,280,最小攻击+28
1280,cmi_A,catPhyAtk,28,280,最小攻击+28
1281,cmi_A,catPhyAtk,29,290,最小攻击+29
1282,cmi_A,catPhyAtk,29,290,最小攻击+29
1283,cmi_A,catPhyAtk,29,290,最小攻击+29
1284,cmi_A,catPhyAtk,29,290,最小攻击+29
1285,cmi_A,catPhyAtk,29,290,最小攻击+29
1286,cmi_A,catPhyAtk,29,290,最小攻击+29
1287,cmi_A,catPhyAtk,29,290,最小攻击+29
1288,cmi_A,catPhyAtk,29,290,最小攻击+29
